日期,观测时点,区县,路段,积水深度_cm,通行状态,持续情况_推算或原文,信息源,来源链接,备注
2026-08-18,09:20,官渡,彩云北路与昌宏路交叉口,30,断交,09:20–10:15在断交；11:00名单已消失（约数小时内退出断交）,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,09:20,官渡,民航路长润街下穿隧道,30→50,断交,09:20约30cm；11:00–17:00升至约50cm仍断交（断交≥约8小时且加深）,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,下穿持续恶化型
2026-08-18,09:20,官渡,东郊路菊华立交下层,30,断交,09:20–11:00在名单；13:00已退出（约数小时）,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,09:20,官渡,昌宏路与雨龙路交叉口,30,断交,09:20–10:15在名单；11:00退出,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,09:20,官渡,二环东路石虎关立交底层,40,断交,09:20–13:00仍断交；17:00北向南主道消退正清淤,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,09:20,官渡,彩云北路与经桥路路口辅道,30,断交,09:20–10:15在名单；11:00退出,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,09:20,官渡,东风东路与曙光路交叉口,40,断交,09:20–11:00断交；13:00改为缓行约20cm,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,10:15,官渡,二环东路下层锦都酒店路段,40,断交,10:15新增/确认；11:00仍断交；13:00缓行约20cm,昆明本地宝/澎湃引昆明交警,https://www.163.com/dy/article/L4K84UA50514R9P4.html,
2026-08-18,10:15,官渡,二环东路下层昙华寺路段,30,断交,10:15在名单；11:00辅道约20cm仍管控；13:00退出,昆明本地宝/澎湃引昆明交警,https://www.163.com/dy/article/L4K84UA50514R9P4.html,
2026-08-18,10:15,官渡,春城路日新立交转盘,50,断交,10:15约50cm；13:00约40cm仍断交；17:00名单消失（断交约≥4–7小时）,昆明本地宝/澎湃引昆明交警,https://www.163.com/dy/article/L4K84UA50514R9P4.html,当日最深之一
2026-08-18,10:15,官渡,民航路官渡广场附近,30→20,断交,10:15约30cm；13:00–17:00约20cm仍断交,昆明本地宝/澎湃引昆明交警,https://www.163.com/dy/article/L4K84UA50514R9P4.html,
2026-08-18,10:15,官渡,珥季路大澡堂段,15,缓行,10:15–13:00仍缓行；17:00名单消失,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,10:15,盘龙,人民东路与中营路交叉口,15,缓行,10:15–11:00缓行；13:00退出,昆明本地宝汇编昆明交警,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,约09:50,经开,经东路锅炉厂路段,30,断交,见早间小红书/本地宝早报名单；交警10:15官渡名单未再列,小红书整理+昆明本地宝早报段,http://km.bendibao.com/news/2026818/106761.shtm,与官渡时段名单不完全同步
2026-08-18,约09:50,经开,河岸村涵洞,30,断交,同上,小红书整理+昆明本地宝早报段,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,约09:50,经开,贵昆路金马村涵洞,40,断交,同上,小红书整理+昆明本地宝早报段,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,约09:50,经开,云大西路昆玉桥洞,30,断交,同上,小红书整理+昆明本地宝早报段,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,约09:50,盘龙,景润路花之城路段,30,断交,早报名单有；交警10:15主名单以官渡为主,小红书整理+昆明本地宝早报段,http://km.bendibao.com/news/2026818/106761.shtm,
2026-08-18,早间,机场方向,金瓦路、虹苏路、照青路、东三环虹桥立交、大树营二环快线,未公开,交通管制,长水机场07:17提示；建议地铁6号线或绕城绕行,澎湃新闻引机场提示,https://www.163.com/dy/article/L4K84UA50514R9P4.html,非逐点水深
